content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
2182,2016-03-17T19:41:55.407Z,1458146084,3379,0,0,295948,1458243712,s0-r2,GigabitEthernet0/0/0/1,26018832,5035.0,26772023,0,0,0,7,0,0,2,8337.0,0,0,0,0,0,0,2,113.0,0,0,0,0,0,68.0,0,0,357739,0,0,0,0,0
2,2016-03-17T19:41:55.495Z,1458064748,1757,0,0,3147,1458243709,s0-r7,GigabitEthernet0/0/0/7,2489243,0.0,182,0,0,0,2209,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,178949,0,0,0,0
2,2016-03-17T19:41:55.495Z,1458064748,1757,0,0,3147,1458243709,s0-r7,GigabitEthernet0/0/0/6,2489243,0.0,182,0,0,0,2209,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,178949,0,0,0,0
3988,2016-03-17T19:41:55.495Z,1458064748,4736,0,0,13439,1458243709,s0-r7,GigabitEthernet0/0/0/3,3583622,60.0,1126243,0,0,0,28,0,0,1,73.0,0,0,0,0,0,0,20,1.0,0,0,0,0,0,1.0,0,0,10294,28,0,0,0,0
3993,2016-03-17T19:41:55.495Z,1458064748,4731,0,0,13147,1458243709,s0-r7,GigabitEthernet0/0/0/1,3563794,178.0,1109491,0,0,0,28,0,0,1,264.0,0,0,0,0,0,0,20,2.0,0,0,0,0,0,2.0,0,0,10052,8,0,0,0,0
44,2016-03-17T19:41:58.322Z,1458241850,0,0,0,86583511,1458243717,s0-r4,GigabitEthernet0/0/0/5,130914053748,17700.0,1004822,0,0,0,0,0,0,1,2389756824.0,0,0,0,0,0,0,0,1580527.0,0,0,0,0,0,30.0,0,0,1884,0,0,0,0,0
1287,2016-03-17T19:41:58.322Z,1458241850,257,0,0,3870,1458243717,s0-r4,GigabitEthernet0/0/0/1,616224,21154.0,1318864,0,0,0,0,0,0,2,8366.0,0,0,0,0,0,0,0,54.0,0,0,0,0,0,86.0,0,0,5205,0,0,0,0,0
0,2016-03-17T19:41:58.322Z,1458241869,0,0,0,0,1458243714,s0-r4,GigabitEthernet0/0/0/4.100,0,0.0,46,0,0,0,4294967295,0,0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1848,0,0,0,0
2184,2016-03-17T19:41:25.403Z,1458146084,3384,0,0,14977,1458243682,s0-r2,GigabitEthernet0/0/0/0,3434764,196.0,970872,0,0,0,42,0,0,2,0.0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,1.0,0,0,11803,7,0,0,0,0
1628,2016-03-17T19:41:25.403Z,1458146084,3382,0,0,9578,1458243682,s0-r2,GigabitEthernet0/0/0/5,3097470,0.0,561620,0,0,0,18,0,0,2,191.0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0.0,0,0,6436,48,0,0,0,0
2182,2016-03-17T19:41:25.403Z,1458146084,3379,0,0,295835,1458243682,s0-r2,GigabitEthernet0/0/0/1,26010495,5098.0,26766988,0,0,0,0,0,0,2,7119.0,0,0,0,0,0,0,2,95.0,0,0,0,0,0,67.0,0,0,357671,0,0,0,0,0
1003,2016-03-17T19:41:25.554Z,1458064748,0,0,0,9217347062,1458243679,s0-r7,GigabitEthernet0/0/0/4,13936617931524,17914.0,104437306,0,0,0,0,0,0,1,2404845278.0,0,0,0,0,0,0,0,1590509.0,0,0,0,0,0,33.0,0,0,184461,0,0,0,0,0
661,2016-03-17T19:41:28.325Z,1458241850,879,0,0,1434,1458243687,s0-r4,GigabitEthernet0/0/0/0,1041049,7049.0,367209,0,0,0,0,0,0,2,16613.0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,16.0,0,0,781,0,0,0,0,0
1267,2016-03-17T19:41:28.325Z,1458241850,254,0,0,3816,1458243687,s0-r4,GigabitEthernet0/0/0/1,607858,21186.0,1297710,0,0,0,0,0,0,2,10061.0,0,0,0,0,0,0,0,76.0,0,0,0,0,0,86.0,0,0,5119,0,0,0,0,0
17673,2016-03-17T19:41:33.830Z,1457449308,9082,0,0,40765,1458243685,s0-r6,GigabitEthernet0/0/0/5,25606043,264.0,42119837,0,0,0,7,0,0,68496,54.0,0,0,0,0,0,0,882,1.0,0,0,0,0,0,2.0,0,0,574768,7,0,0,0,0
17685,2016-03-17T19:41:33.830Z,1457449308,15314,0,0,60782,1458243685,s0-r6,GigabitEthernet0/0/0/4,7658633,191.0,7741873,0,0,0,0,0,0,2,168.0,0,0,0,0,0,0,882,1.0,0,0,0,0,0,1.0,0,0,78115,27,0,0,0,0
17686,2016-03-17T19:41:33.830Z,1457449308,2084,0,0,34433,1458243685,s0-r6,GigabitEthernet0/0/0/2,5186477,73.0,4852214,0,0,0,7,0,0,1,127.0,0,0,0,0,0,0,884,2.0,0,0,0,0,0,1.0,0,0,44613,7,0,0,0,0
