content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
17137,2016-03-17T13:02:54.711Z,1457449290,8666,0,0,25602,1458219767,s0-r3,GigabitEthernet0/0/0/5,5333797,191.0,6656467,0,0,0,3,0,0,66806,196.0,0,0,0,0,0,0,874,1.0,0,0,0,0,0,1.0,0,0,97262,28,0,0,0,0
17142,2016-03-17T13:02:54.711Z,1457449290,8662,0,0,7868224258,1458219767,s0-r3,GigabitEthernet0/0/0/4,11895001636971,22602.0,395002743,0,0,0,3,0,0,68611,2383251220.0,0,0,0,0,0,0,882,1576288.0,0,0,0,0,0,96.0,0,0,1129781,3,0,0,0,0
493291,2016-03-17T13:02:54.711Z,1457449290,90002,0,0,1585200,1458219767,s0-r3,GigabitEthernet0/0/0/2,460142305,32236.0,463546146,0,0,0,3,0,0,2,19690.0,0,0,0,0,0,0,887,208.0,0,0,0,0,0,217.0,0,0,1577512,3,0,0,0,0
424,2016-03-17T13:02:55.240Z,1458146084,2967,0,0,204700,1458219771,s0-r2,GigabitEthernet0/0/0/4,54852228,2357572758.0,5713005078037,0,0,0,0,0,0,2,22173.0,0,0,0,0,0,0,2,96.0,0,0,0,0,0,1559304.0,0,0,3778498824,0,0,0,0,0
2,2016-03-17T13:02:55.332Z,1458064748,1739,0,0,3122,1458219769,s0-r7,GigabitEthernet0/0/0/5,2469650,0.0,182,0,0,0,57633,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,155009,0,0,0,0
20545,2016-03-17T13:02:21.665Z,1458162490,27285,0,0,44214,1458219739,s0-r4,GigabitEthernet0/0/0/0,32265599,5397.0,11384418,0,0,0,2,0,0,2,18000.0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,13.0,0,0,24735,2,0,0,0,0
1282,2016-03-17T13:02:21.665Z,1458162490,0,0,0,2981383650,1458219739,s0-r4,GigabitEthernet0/0/0/5,4507773251089,20532.0,37832175,0,0,0,2,0,0,2,2438195786.0,0,0,0,0,0,0,0,1612591.0,0,0,0,0,0,63.0,0,0,116928,2,0,0,0,0
39836,2016-03-17T13:02:21.665Z,1458162490,7514,0,0,20211,1458219739,s0-r4,GigabitEthernet0/0/0/4,11090365,17874.0,31955177,0,0,0,2,0,0,1,6512.0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,22.0,0,0,39841,2,0,0,0,0
20540,2016-03-17T13:02:21.665Z,1458162490,27188,0,0,416654,1458219739,s0-r4,GigabitEthernet0/0/0/3,59645494,22323.0,39150678,0,0,0,2,0,0,2,34832.0,0,0,0,0,0,0,0,253.0,0,0,0,0,0,241.0,0,0,398231,2,0,0,0,0
0,2016-03-17T13:02:32.627Z,1458063695,0,0,0,0,1458219749,s0-r1,tunnel-te102,0,0.0,0,0,0,0,4294967295,0,2147476720,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,4294967295,0,0,0,0
